time,co2
1972.583333,326.16
1972.666667,324.68
1972.75,325.04
1972.833333,326.34
1972.916667,327.39
1973,328.37
1973.083333,329.4
1973.166667,330.14
1973.25,331.33
1973.333333,332.31
1973.416667,331.9
1973.5,330.7
1973.583333,329.15
1973.666667,327.35
1973.75,327.02
1973.833333,327.99
1973.916667,328.48
1974,329.18
1974.083333,330.55
1974.166667,331.32
1974.25,332.48
1974.333333,332.92
1974.416667,332.08
1974.5,331.01
1974.583333,329.23
1974.666667,327.27
1974.75,327.21
1974.833333,328.29
1974.916667,329.41
1975,330.23
1975.083333,331.25
1975.166667,331.87
1975.25,333.14
1975.333333,333.8
1975.416667,333.43
1975.5,331.73
1975.583333,329.9
1975.666667,328.4
1975.75,328.17
1975.833333,329.32
1975.916667,330.59
1976,331.58
1976.083333,332.39
1976.166667,333.33
1976.25,334.41
1976.333333,334.71
1976.416667,334.17
1976.5,332.89
1976.583333,330.77
1976.666667,329.14
1976.75,328.78
1976.833333,330.14
1976.916667,331.52
1977,332.75
1977.083333,333.24
1977.166667,334.53
1977.25,335.9
1977.333333,336.57
1977.416667,336.1
1977.5,334.76
1977.583333,332.59
1977.666667,331.42
1977.75,330.98
1977.833333,332.24
1977.916667,333.68
1978,334.8
1978.083333,335.22
1978.166667,336.47
1978.25,337.59
1978.333333,337.84
1978.416667,337.72
1978.5,336.37
1978.583333,334.51
1978.666667,332.6
1978.75,332.38
1978.833333,333.75
1978.916667,334.78
1979,336.05
1979.083333,336.59
1979.166667,337.79
1979.25,338.71
1979.333333,339.3
1979.416667,339.12
1979.5,337.56
1979.583333,335.92
1979.666667,333.75
1979.75,333.7
1979.833333,335.12
1979.916667,336.56
1980,337.84
1980.083333,338.19
1980.166667,339.91
1980.25,340.6
1980.333333,341.29
1980.416667,341
1980.5,339.39
1980.583333,337.43
1980.666667,335.72
1980.75,335.84
1980.833333,336.93
1980.916667,338.04
1981,339.06
1981.083333,340.3
1981.166667,341.21
1981.25,342.33
1981.333333,342.74
1981.416667,342.08
1981.5,340.32
1981.583333,338.26
1981.666667,336.52
1981.75,336.68
1981.833333,338.19
1981.916667,339.44
1982,340.57
1982.083333,341.44
1982.166667,342.53
1982.25,343.39
1982.333333,343.96
1982.416667,343.18
1982.5,341.88
1982.583333,339.65
1982.666667,337.81
1982.75,337.69
1982.833333,339.09
1982.916667,340.32
1983,341.2
1983.083333,342.35
1983.166667,342.93
1983.25,344.77
1983.333333,345.58
1983.416667,345.14
1983.5,343.81
1983.583333,342.21
1983.666667,339.69
1983.75,339.82
1983.833333,340.98
1983.916667,342.82
1984,343.52
1984.083333,344.33
1984.166667,345.11
1984.25,346.88
1984.333333,347.25
1984.416667,346.62
1984.5,345.22
1984.583333,343.11
1984.666667,340.9
1984.75,341.18
1984.833333,342.8
1984.916667,344.04
1985,344.79
1985.083333,345.82
1985.166667,347.25
1985.25,348.17
1985.333333,348.74
1985.416667,348.07
1985.5,346.38
1985.583333,344.51
1985.666667,342.92
1985.75,342.62
1985.833333,344.06
1985.916667,345.38
1986,346.11
1986.083333,346.78
1986.166667,347.68
1986.25,349.37
1986.333333,350.03
1986.416667,349.37
1986.5,347.76
1986.583333,345.73
1986.666667,344.68
1986.75,343.99
1986.833333,345.48
1986.916667,346.72
1987,347.84
1987.083333,348.29
1987.166667,349.23
1987.25,350.8
1987.333333,351.66
1987.416667,351.07
1987.5,349.33
1987.583333,347.92
1987.666667,346.27
1987.75,346.18
1987.833333,347.64
1987.916667,348.78
1988,350.25
1988.083333,351.54
1988.166667,352.05
1988.25,353.41
1988.333333,354.04
1988.416667,353.62
1988.5,352.22
1988.583333,350.27
1988.666667,348.55
1988.75,348.72
1988.833333,349.91
1988.916667,351.18
1989,352.6
1989.083333,352.92
1989.166667,353.53
1989.25,355.26
1989.333333,355.52
1989.416667,354.97
1989.5,353.75
1989.583333,351.52
1989.666667,349.64
1989.75,349.83
1989.833333,351.14
1989.916667,352.37
1990,353.5
1990.083333,354.55
1990.166667,355.23
1990.25,356.04
1990.333333,357
1990.416667,356.07
1990.5,354.67
1990.583333,352.76
1990.666667,350.82
1990.75,351.04
1990.833333,352.69
1990.916667,354.07
1991,354.59
1991.083333,355.63
1991.166667,357.03
1991.25,358.48
1991.333333,359.22
1991.416667,358.12
1991.5,356.06
1991.583333,353.92
1991.666667,352.05
1991.75,352.11
1991.833333,353.64
1991.916667,354.89
1992,355.88
1992.083333,356.63
1992.166667,357.72
1992.25,359.07
1992.333333,359.58
1992.416667,359.17
1992.5,356.94
1992.583333,354.92
1992.666667,352.94
1992.75,353.23
1992.833333,354.09
1992.916667,355.33
1993,356.63
1993.083333,357.1
1993.166667,358.32
1993.25,359.41
1993.333333,360.23
1993.416667,359.55
1993.5,357.53
1993.583333,355.48
1993.666667,353.67
1993.75,353.95
1993.833333,355.3
1993.916667,356.78
1994,358.34
1994.083333,358.89
1994.166667,359.95
1994.25,361.25
1994.333333,361.67
1994.416667,360.94
1994.5,359.55
1994.583333,357.49
1994.666667,355.84
1994.75,356
1994.833333,357.59
1994.916667,359.05
1995,359.98
1995.083333,361.03
1995.166667,361.66
1995.25,363.48
1995.333333,363.82
1995.416667,363.3
1995.5,361.94
1995.583333,359.5
1995.666667,358.11
1995.75,357.8
1995.833333,359.61
1995.916667,360.74
1996,362.09
1996.083333,363.29
1996.166667,364.06
1996.25,364.76
1996.333333,365.45
1996.416667,365.01
1996.5,363.7
1996.583333,361.54
1996.666667,359.51
1996.75,359.65
1996.833333,360.8
1996.916667,362.38
1997,363.23
1997.083333,364.06
1997.166667,364.61
1997.25,366.4
1997.333333,366.84
1997.416667,365.68
1997.5,364.52
1997.583333,362.57
1997.666667,360.24
1997.75,360.83
1997.833333,362.49
1997.916667,364.34
